design,train_crps,validation_accuracy,test_accuracy,train_majority_test_accuracy,train_seconds
Arbiter,1000,0.97,0.96875,0.561,0.013051417015958577
Arbiter,5000,0.9905,0.99125,0.561,0.027947249996941537
Arbiter,10000,0.994,0.99375,0.561,0.055963082995731384
3-XOR Arbiter,1000,0.553,0.5515,0.4675,0.011598374985624105
3-XOR Arbiter,5000,0.538,0.5555,0.5325,0.02921383301145397
3-XOR Arbiter,10000,0.553,0.5475,0.5325,0.05684004200156778
